,gas/electric,livingroom,bedrooms,bathrooms,city,where,languages,house/building,storage?,furnished?,AC,accessible?,Elevator,parking,pets,smoke,price,rent length,public transpo,near construction,loud neighborhood,phone number,name
69,1,1,1,1.0,1,Haifa,EN,0,1,1,1,0,1,1,1,0,2000,12,1,1,0,110069,owner69
70,1,1,2,2.0,0,Yehuda And Shomron,FR,1,0,1,1,0,0,0,0,0,4000,12,1,1,0,110070,owner70
71,1,1,2,1.0,1,Haifa,AM,0,0,1,1,0,0,0,1,0,3000,12,1,1,0,110071,owner71
72,0,1,1,1.0,1,Tel Aviv,EN,0,1,1,1,1,0,0,0,0,1500,12,1,1,0,110072,owner72
73,1,1,1,1.0,1,Ariel,AM,1,1,1,1,1,1,0,0,0,2000,12,1,1,0,110073,owner73
74,1,1,1,1.0,1,Ariel,AM,1,1,1,1,1,1,0,0,0,2000,12,1,1,0,110074,owner74
75,1,1,1,1.0,1,Ariel,AM,1,1,1,1,1,1,0,0,0,2000,12,1,1,0,110075,owner75
76,0,1,1,1.0,1,Haifa,EN,1,0,1,1,0,0,0,1,0,1500,12,1,1,0,110076,owner76
77,1,1,1,1.0,1,Jerusalem,RU,0,0,1,1,1,0,1,0,0,1500,12,1,1,0,110077,owner77
78,0,1,1,1.0,1,Jerusalem,AR,0,1,1,0,0,0,1,0,0,1500,12,1,1,0,110078,owner78
79,1,1,3,1.0,1,Ariel,AM,1,1,0,0,1,1,0,0,0,4500,12,1,1,0,110079,owner79
80,0,1,1,1.0,0,Otef Azza,RU,0,0,1,0,1,0,1,0,0,1200,12,0,1,0,110080,owner80
81,1,1,2,2.0,0,Otef Azza,0,1,1,1,1,1,1,1,0,0,2500,12,0,1,0,110081,owner81
82,1,1,2,1.0,1,Ariel,SP,0,0,1,1,0,0,0,0,0,3000,12,1,1,0,110082,owner82
83,1,1,2,1.0,0,South,EN,0,1,1,1,0,1,1,1,0,4000,12,0,1,0,110083,owner83
84,1,1,2,1.0,0,South,EN,1,1,1,1,0,1,1,1,0,4000,12,0,1,0,110084,owner84
85,1,1,1,1.0,1,Ariel,EN,1,1,1,1,0,1,1,1,1,2000,12,1,1,0,110085,owner85
86,1,1,1,1.0,1,Ariel,0,1,0,1,1,1,1,0,0,0,2000,12,1,1,0,110086,owner86
87,1,1,1,1.0,0,Otef Azza,FR,1,1,1,1,1,1,0,0,0,2000,12,0,1,0,110087,owner87
88,1,1,1,1.0,0,North,AR,0,1,1,1,0,0,0,1,0,1200,12,0,1,0,110088,owner88
89,1,1,1,2.0,0,North,FR,0,0,1,0,0,0,1,1,0,2000,12,0,1,0,110089,owner89
90,1,1,1,1.0,1,Tel Aviv,FR,1,1,1,1,1,1,1,0,0,2000,12,1,1,0,110090,owner90
91,1,1,1,1.0,1,Ariel,EN,0,0,1,0,0,0,0,0,0,1500,12,1,1,0,110091,owner91
92,1,1,1,1.0,1,Ariel,FR,0,0,1,1,0,1,1,1,0,2000,12,1,1,0,110092,owner92
93,1,1,3,1.0,0,Otef Azza,EN,0,1,1,1,0,0,1,0,0,3600,12,0,1,0,110093,owner93
94,0,1,3,1.0,1,Ariel,EN,0,1,1,0,0,0,0,0,0,4500,12,1,1,0,110094,owner94
95,0,1,1,1.0,1,Jerusalem,EN,0,1,1,1,0,0,0,0,0,1500,12,1,1,0,110095,owner95
96,1,1,1,1.0,1,Ariel,RU,0,1,1,0,0,0,0,0,0,1500,12,1,1,0,110096,owner96
97,1,1,1,1.0,1,Ariel,EN,1,1,0,0,0,0,0,1,0,1500,12,1,1,0,110097,owner97
98,1,1,2,1.0,1,Ariel,FR,0,0,0,1,0,0,1,0,0,3000,12,1,1,0,110098,owner98
99,0,1,1,1.0,0,South,AM,1,1,1,1,1,1,0,0,0,2000,12,0,1,0,110099,owner99
100,0,1,1,1.0,1,Ariel,EN,0,0,1,1,0,0,1,0,0,1500,12,1,1,0,110100,owner100
101,1,1,3,1.0,1,Ariel,EN,0,0,1,1,0,0,0,0,0,4500,12,1,1,0,110101,owner101
102,1,1,1,1.0,1,Ariel,AR,0,1,0,0,1,0,0,0,0,1500,12,1,1,0,110102,owner102
103,1,1,2,1.0,1,Merkaz,FR,0,0,1,1,0,0,1,0,0,3000,12,1,1,0,110103,owner103
104,1,1,3,1.0,1,Ariel,EN,0,0,1,1,0,0,1,0,0,4500,12,1,1,0,110104,owner104
105,1,1,1,1.0,1,Ariel,0,1,1,1,1,1,1,0,0,0,2000,12,1,1,0,110105,owner105
106,1,1,1,1.0,1,Jerusalem,EN,0,1,1,1,0,0,0,0,0,1500,12,1,1,0,110106,owner106
107,1,1,1,1.0,1,Ariel,0,1,1,1,0,1,1,0,0,0,2000,12,1,1,0,110107,owner107
108,0,1,3,1.0,1,Haifa,EN,1,1,1,1,0,0,0,1,0,4500,12,1,1,0,110108,owner108
109,0,1,1,1.0,1,Ariel,SP,0,1,1,1,0,0,1,0,0,1500,12,1,1,0,110109,owner109
110,0,1,1,1.0,1,Ariel,FR,1,1,1,0,1,1,0,0,0,2000,12,1,1,0,110110,owner110
111,1,1,2,1.0,1,Ariel,AM,1,1,1,0,1,1,0,0,0,3000,12,1,1,0,110111,owner111
112,1,1,1,1.0,1,Ariel,EN,0,1,1,1,0,0,1,0,0,1500,12,1,1,0,110112,owner112
113,0,1,1,1.0,1,Ariel,SP,0,1,0,0,0,0,0,0,0,1500,12,1,1,0,110113,owner113
114,0,1,2,1.0,1,Ariel,EN,0,1,1,1,0,0,1,0,0,3000,12,1,1,0,110114,owner114
115,1,1,2,1.0,0,Otef Azza,AR,0,0,1,1,0,0,1,0,0,2400,12,0,1,0,110115,owner115
116,1,1,3,1.0,0,Yehuda And Shomron,FR,0,0,1,1,0,0,0,1,0,3600,12,1,1,0,110116,owner116
117,1,1,1,1.0,1,Ariel,EN,0,1,1,1,0,0,0,0,0,1500,12,1,1,0,110117,owner117
118,1,1,1,1.0,1,Merkaz,RU,0,1,1,1,0,0,0,0,0,1500,12,1,1,0,110118,owner118
119,0,1,2,1.0,1,Merkaz,FR,0,0,1,1,0,0,0,0,0,3000,12,1,1,0,110119,owner119
120,1,1,1,1.0,1,Ariel,0,1,1,1,1,1,1,0,0,0,2000,12,1,1,1,110120,owner120
121,1,1,1,1.0,1,Tel Aviv,FR,1,1,1,0,1,1,1,0,0,2000,12,1,1,1,110121,owner121
122,1,1,1,1.0,1,Merkaz,EN,0,1,1,1,0,0,0,0,0,1500,12,1,1,1,110122,owner122
123,0,1,1,1.0,1,Ariel,FR,1,1,1,0,0,0,0,0,0,1500,12,1,1,1,110123,owner123
124,0,1,2,1.0,1,Ariel,FR,0,0,1,0,0,0,0,0,0,3000,12,1,1,1,110124,owner124
125,1,1,1,1.0,0,North,EN,1,0,1,1,0,1,1,1,0,2000,12,0,1,1,110125,owner125
126,1,1,1,1.0,1,Ariel,EN,0,0,1,0,0,0,0,0,0,1500,12,1,1,1,110126,owner126
127,1,1,2,1.0,0,Yehuda And Shomron,RU,1,1,1,0,0,0,0,1,1,2400,12,1,1,1,110127,owner127
128,0,1,1,1.0,1,Ariel,0,1,1,1,1,1,1,0,0,0,2000,12,1,1,1,110128,owner128
129,1,1,2,1.0,1,Tel Aviv,FR,1,1,1,1,1,1,0,0,0,2500,12,1,1,1,110129,owner129
130,1,1,1,1.0,1,Ariel,AR,0,1,1,1,0,0,1,0,0,1500,12,1,1,1,110130,owner130
131,0,1,1,1.0,1,Tel Aviv,EN,0,1,1,1,0,0,1,0,0,1500,12,1,1,1,110131,owner131
132,1,1,2,1.0,1,Merkaz,AR,0,1,1,0,0,0,0,0,0,3000,12,1,1,1,110132,owner132
133,0,1,2,1.0,1,Ariel,AR,1,1,1,1,0,0,0,0,1,3000,12,1,1,1,110133,owner133
134,1,1,1,1.0,1,Tel Aviv,EN,0,0,1,1,0,0,0,0,0,1500,12,1,1,1,110134,owner134
135,1,1,3,1.0,1,Haifa,EN,1,1,1,1,1,1,1,1,0,4500,12,1,1,1,110135,owner135
136,1,1,1,1.0,0,Yehuda And Shomron,RU,1,1,1,0,0,0,0,1,1,1200,12,1,1,1,110136,owner136
137,1,1,1,1.0,0,Yehuda And Shomron,RU,1,1,1,0,0,0,0,1,1,1200,12,1,1,1,110137,owner137
138,0,1,3,2.0,0,South,EN,0,0,1,0,0,0,1,1,1,6000,12,0,1,1,110138,owner138
139,0,1,1,1.0,1,Ariel,SP,0,1,1,0,0,0,0,0,0,1500,12,1,1,1,110139,owner139
140,0,1,2,1.0,1,Haifa,EN,1,1,1,1,1,1,1,1,0,3000,12,1,1,1,110140,owner140
141,1,1,2,1.0,0,South,RU,0,1,1,1,0,1,1,1,0,4000,12,0,1,1,110141,owner141
142,1,1,2,1.0,1,Ariel,EN,0,0,1,1,0,0,1,0,1,3000,12,1,1,1,110142,owner142
143,1,1,2,1.0,1,Merkaz,EN,0,1,1,1,0,0,0,0,0,3000,12,1,1,1,110143,owner143
144,1,1,1,1.0,1,Ariel,FR,1,1,1,1,1,1,0,0,0,2000,12,1,1,1,110144,owner144
145,1,1,2,1.0,1,Ariel,AM,1,1,1,1,1,1,0,0,0,3000,12,1,1,1,110145,owner145
146,1,1,1,1.0,1,Tel Aviv,0,1,1,1,1,1,1,0,0,0,2000,12,1,1,1,110146,owner146
147,0,1,2,1.0,1,Tel Aviv,AM,1,1,1,1,1,1,1,0,0,2500,12,1,1,1,110147,owner147
148,1,1,1,1.0,1,Ariel,AR,0,1,1,0,0,0,0,0,0,1500,12,1,1,1,110148,owner148
149,0,1,1,1.0,0,Yehuda And Shomron,EN,0,1,1,0,0,0,0,1,1,1200,12,1,1,1,110149,owner149
150,1,1,1,1.5,0,Yehuda And Shomron,0,1,1,1,1,0,0,1,0,0,2200,12,1,1,0,110150,owner150
151,1,1,2,1.0,1,Jerusalem,AM,1,1,1,1,1,1,0,0,0,4000,12,1,1,0,110151,owner151
152,1,1,1,1.0,1,Merkaz,FR,1,1,1,1,1,1,0,0,0,2000,12,1,1,0,110152,owner152
153,1,1,1,1.0,1,Ariel,AM,1,1,1,1,0,0,1,0,0,1500,12,1,1,0,110153,owner153
154,1,1,1,1.0,1,Haifa,RU,0,1,1,1,0,0,0,1,0,1500,12,1,1,0,110154,owner154
155,1,1,1,1.0,1,Merkaz,EN,0,1,1,1,0,0,0,0,1,1500,12,1,1,0,110155,owner155
156,1,1,1,1.0,1,Merkaz,EN,0,1,1,1,0,0,0,0,1,1500,12,1,1,0,110156,owner156
157,1,1,2,1.0,1,Ariel,EN,0,1,1,1,0,0,0,0,1,3000,12,1,1,0,110157,owner157
158,1,1,2,1.0,1,Ariel,EN,0,1,1,1,0,0,0,0,1,3000,12,1,1,0,110158,owner158
159,0,1,1,1.0,1,Merkaz,FR,1,0,1,1,1,1,0,0,0,2000,12,1,1,0,110159,owner159
160,0,1,3,1.0,1,Ariel,RU,0,1,1,1,0,0,0,1,0,4500,12,1,1,0,110160,owner160
161,0,1,1,1.0,1,Ariel,FR,1,1,1,1,1,1,1,0,0,2000,12,1,1,0,110161,owner161
162,1,1,2,1.0,1,Ariel,FR,1,1,1,1,1,1,0,0,0,3000,12,1,1,0,110162,owner162
163,1,1,4,2.0,1,Jerusalem,AR,0,1,1,1,0,0,1,0,0,8000,12,1,1,0,110163,owner163
164,1,1,2,1.0,1,Ariel,FR,1,0,1,1,1,1,0,0,0,3000,12,1,1,0,110164,owner164
165,0,1,2,1.0,1,Merkaz,EN,0,0,1,0,0,0,1,0,0,3000,12,1,1,0,110165,owner165
166,1,1,1,1.0,0,Yehuda And Shomron,AR,0,0,1,1,0,0,0,1,1,1200,12,1,1,0,110166,owner166
167,1,1,3,1.0,1,Beer Sheba,EN,1,1,1,1,0,1,1,1,0,4500,12,1,1,0,110167,owner167
168,1,1,2,1.0,1,Merkaz,AM,1,1,1,1,1,1,1,0,0,3500,12,1,1,1,110168,owner168
169,1,1,1,1.0,1,Jerusalem,EN,0,1,1,1,1,0,1,0,0,1500,12,1,1,1,110169,owner169
170,1,1,1,1.0,1,Ariel,0,1,1,1,1,1,1,0,0,0,2000,12,1,1,1,110170,owner170
171,1,1,1,1.0,1,Merkaz,EN,0,0,1,1,0,0,0,0,0,1500,12,1,1,1,110171,owner171
172,1,1,1,1.5,1,Tel Aviv,EN,0,1,1,1,0,0,1,0,0,1750,12,1,1,1,110172,owner172
173,0,1,1,1.0,1,Jerusalem,0,1,0,1,1,1,1,0,0,0,2000,12,1,0,1,110173,owner173
174,0,1,2,1.0,1,Jerusalem,RU,0,1,0,0,0,0,0,0,0,3000,12,1,0,1,110174,owner174
175,1,1,2,1.0,1,Jerusalem,EN,0,0,1,1,0,0,0,0,0,3000,12,1,0,1,110175,owner175
176,0,1,3,1.0,1,Ariel,AR,0,0,1,0,0,0,0,1,0,4500,12,1,0,1,110176,owner176
177,0,1,1,1.0,1,Ariel,RU,0,1,1,0,0,0,0,0,1,1500,12,1,0,1,110177,owner177
178,0,1,3,1.0,1,Beer Sheba,EN,1,1,1,1,0,1,0,1,1,4500,12,1,0,1,110178,owner178
179,1,1,2,1.0,1,Ariel,AM,1,1,1,1,1,1,0,0,0,3000,24,1,0,1,110179,owner179
180,1,1,2,1.0,1,Ariel,AR,0,1,1,1,0,0,0,0,0,3000,24,1,0,1,110180,owner180
181,1,1,1,2.0,0,Yehuda And Shomron,RU,0,1,1,1,0,1,1,1,0,2500,24,1,0,1,110181,owner181
182,1,1,1,1.0,1,Ariel,EN,0,1,1,1,0,0,0,0,0,1500,1,1,0,1,110182,owner182
183,0,1,2,1.0,0,South,FR,0,0,1,1,1,1,1,1,0,4000,1,0,0,1,110183,owner183
184,0,1,2,1.0,1,Tel Aviv,AR,0,1,1,1,1,0,0,0,0,3000,12,1,0,1,110184,owner184
185,1,1,2,1.0,1,Ariel,FR,1,1,1,1,0,0,0,0,0,3000,12,1,0,1,110185,owner185
186,0,1,3,1.0,1,Merkaz,AR,0,1,1,0,0,0,0,0,0,4500,12,1,0,1,110186,owner186
187,1,1,2,1.0,1,Ariel,FR,1,0,1,1,1,1,0,0,0,3000,12,1,0,1,110187,owner187
188,0,1,3,1.0,1,Ariel,AR,0,1,1,0,0,0,0,0,0,4500,12,1,0,1,110188,owner188
189,0,1,2,1.0,0,North,RU,0,0,1,1,0,1,1,1,0,3000,12,0,0,0,110189,owner189
190,1,1,1,1.0,1,Ariel,FR,0,0,1,0,0,0,0,0,0,1500,12,1,0,0,110190,owner190
191,1,1,1,1.0,1,Ariel,SP,0,0,1,1,0,0,0,0,0,1500,12,1,0,0,110191,owner191
192,1,1,2,1.0,1,Haifa,AR,0,1,1,0,0,0,0,1,0,3000,12,1,0,0,110192,owner192
193,1,1,2,1.0,1,Tel Aviv,SP,0,1,1,0,0,0,0,0,0,3000,12,1,0,0,110193,owner193
194,1,1,3,1.0,0,North,EN,1,1,1,1,0,0,0,1,0,3600,12,0,0,0,110194,owner194
195,1,1,1,1.5,1,Ariel,SP,0,0,0,1,0,0,1,0,0,1750,12,1,0,0,110195,owner195
196,1,1,2,1.0,0,Yehuda And Shomron,FR,1,1,1,1,1,1,0,0,0,3500,12,1,0,0,110196,owner196
197,1,1,1,1.0,0,Yehuda And Shomron,FR,1,1,1,1,1,1,0,0,0,2000,12,1,0,0,110197,owner197
198,1,1,2,1.0,1,Ariel,SP,0,1,1,0,0,0,0,0,0,3000,12,1,0,0,110198,owner198
199,1,1,1,1.0,1,Ariel,0,1,1,1,1,0,0,0,0,0,1500,1,1,0,0,110199,owner199
200,0,1,1,1.0,1,Ariel,RU,0,1,1,1,0,0,0,0,0,1500,1,1,0,0,110200,owner200
201,0,1,1,1.0,1,Ariel,FR,1,1,1,1,1,1,0,0,0,2000,1,1,0,0,110201,owner201
202,0,1,1,1.0,1,Tel Aviv,FR,1,1,1,1,0,0,0,0,0,1500,1,1,0,0,110202,owner202
203,1,1,2,1.0,1,Ariel,FR,1,1,1,0,0,0,0,0,0,3000,1,1,0,0,110203,owner203
204,1,1,1,1.0,1,Ariel,RU,0,0,1,0,0,0,0,0,0,1500,1,1,0,0,110204,owner204
205,0,1,2,1.0,1,Ariel,RU,0,1,1,1,0,0,0,0,0,3000,1,1,0,0,110205,owner205
206,0,1,2,1.0,1,Tel Aviv,EN,0,0,0,1,0,0,0,0,0,3000,1,1,0,0,110206,owner206
207,0,1,1,1.0,1,Ariel,0,1,1,1,1,1,1,0,0,0,2000,1,1,0,0,110207,owner207
208,1,1,1,1.0,1,Ariel,FR,1,1,1,1,1,1,1,0,0,2000,1,1,0,0,110208,owner208
209,1,1,1,1.0,1,Tel Aviv,EN,0,1,1,0,0,0,1,0,0,1500,1,1,0,0,110209,owner209
210,1,1,1,1.0,1,Ariel,AR,0,1,1,1,0,0,1,0,0,1500,1,1,0,0,110210,owner210
211,0,1,3,1.0,0,North,EN,0,1,1,1,0,0,0,1,0,3600,1,0,0,0,110211,owner211
212,1,1,2,1.0,1,Merkaz,FR,1,1,1,1,1,1,1,0,0,3500,1,1,0,0,110212,owner212
213,1,1,2,1.0,1,Ariel,0,1,1,1,0,0,0,0,0,0,3000,1,1,0,0,110213,owner213
214,0,1,1,1.0,1,Ariel,RU,0,0,1,1,0,0,0,0,0,1500,1,1,0,0,110214,owner214
215,1,1,1,1.0,0,North,FR,1,1,1,1,1,1,1,0,0,2000,1,0,0,0,110215,owner215
216,0,1,1,1.0,1,Ariel,EN,0,0,0,0,0,0,1,0,0,1500,1,1,0,0,110216,owner216
217,1,1,2,1.0,1,Ariel,AM,1,1,1,1,1,1,0,0,0,3000,1,1,0,0,110217,owner217
218,1,1,1,1.0,1,Ariel,FR,1,1,1,1,1,1,0,0,0,2000,1,1,0,0,110218,owner218
219,0,1,1,1.5,1,Tel Aviv,FR,1,1,1,1,0,0,0,0,1,1750,1,1,0,0,110219,owner219
220,0,1,1,1.0,1,Ariel,FR,0,1,1,0,0,0,0,0,1,1500,1,1,0,0,110220,owner220
221,0,1,1,1.0,1,Jerusalem,RU,0,1,0,0,0,0,0,0,0,1500,1,1,0,0,110221,owner221
222,0,1,2,1.0,0,Yehuda And Shomron,AR,0,1,1,1,1,0,1,0,0,2400,1,1,0,0,110222,owner222
223,1,1,2,1.0,0,Otef Azza,AR,0,0,1,0,0,0,1,0,0,2400,1,0,0,0,110223,owner223
224,1,1,1,1.0,1,Jerusalem,0,1,1,1,1,1,1,0,0,0,2000,1,1,0,0,110224,owner224
225,1,1,1,1.0,1,Jerusalem,0,1,1,1,1,1,1,0,0,0,2000,1,1,0,0,110225,owner225
226,1,1,1,1.0,1,Ariel,0,1,1,1,1,1,1,0,0,0,2000,3,1,0,0,110226,owner226
227,1,1,1,1.0,1,Merkaz,0,1,1,1,1,1,1,0,0,0,2000,3,1,0,0,110227,owner227
228,1,1,1,1.0,1,Merkaz,0,1,1,1,1,1,1,0,0,0,2000,3,1,0,0,110228,owner228
229,1,1,1,1.0,1,Merkaz,0,1,1,1,1,0,0,0,0,0,1500,3,1,0,0,110229,owner229
230,1,1,1,1.0,1,Merkaz,0,1,1,1,1,0,0,0,0,0,1500,3,1,0,0,110230,owner230
231,1,1,1,1.0,1,Jerusalem,0,1,1,1,1,1,1,0,0,0,2000,3,1,0,0,110231,owner231
232,0,1,4,2.0,1,Merkaz,RU,0,1,1,1,0,0,1,0,0,8000,3,1,0,0,110232,owner232
233,1,1,2,1.0,1,Jerusalem,EN,0,1,1,1,0,0,1,0,0,3000,3,1,0,0,110233,owner233
234,1,1,3,1.0,1,Ariel,FR,1,1,1,1,1,1,0,0,0,4500,3,1,0,0,110234,owner234
